id,word,definition_text
55,affect,have an effect or impact on
56,affect,give an impression
57,affect,take on an appearance or position
220,allow,let<com> make possible<com> give permission
221,allow,provide for<com> allot
211,announce,make known<com> declare
212,announce,name<com> identify
213,announce,foretell
72,approve,authorize<com> pass<com> clear
73,approve,judge or regard favorably
170,area,Geographic region
171,area,social sphere<com> scope of activity or interest
172,area,a circumscribed place with a specific characteristic
173,area,2D bounded space in geometry
174,area,field of study<com> knowledge domain
214,ask,inquire<com> seek an answer
215,ask,request or demand something from someone
216,ask,specify a price or value for something
217,ask,need<com> call for
218,ask,acting in a manner that results in specific consequences
219,ask,invite
274,attempt,try to do something
275,attempt,the act of surmounting<com> climbing<com> descending
146,authority,power to give orders<com> official state of power
147,authority,assurance<com> confidence
148,authority,officials who have specific powers
149,authority,most knowledgable source<com> expert
150,authority,a government agency with specific power
151,authority,official permission to do something
465,avoid,keep away<com> prevent from happening<com> or not do something
466,avoid,LAW- annul<com> make void<com> make invalid
29,base,limit
30,base,bottom
31,base,foundation
32,base,principle ingredient
33,base,alkali
34,base,bag
35,base,station
36,base,infrastructure
37,base,stem
38,base,radix
39,base,transistor piece
40,base,al-Qaeda
399,begin,start<com> have an initial point 
400,begin,initiate an undertaking
401,begin,make a locution<com> speak
402,begin,partially attain
27,believe,accept something as true or probable<com> based on evidence and reasoning.
28,believe,accept a doctrine<com> not necessarily nn the basis of reason or logic
379,bill,a written list of particular things being offered
380,bill,a written notice that announces or advertises something
381,bill,a statute or draft not yet become law
382,bill,an itemized statement of money owed
383,bill,a printed note that is legal tender
384,bill,the mouth of a bird
385,bill,a long-handled saw
386,bill,brim of a hat that projects forward<com> visor
387,bill,the point of a ship anchor<qu>s fluke
41,build,physically construct something<com> either directly or by implication
42,build,develop<com> increase
43,build,establish or create a complex process or abstract entity<com> according to a plan
44,build,improve cleaning action of
86,buy,use something to acquire goods; obtain through trade or transaction
87,buy,bribe<com> make payments to in exchange for benefits
88,buy,accept as true
89,buy,invest
90,buy,be killed; die
91,buy,take over ownership of
92,buy,stall<com> delay
485,capital,available wealth or assets
486,capital,a seat of government or influence
487,capital,a letter represented in uppercase
488,capital,a book by Karl Marx
489,capital,uppermost part of a column
359,care,consider as important enough for attention<com> concern or liking
360,care,tend or supervise somebody<com> provide protection and assistance
361,care,want<com> desire or perfer to do something
366,carrier,an employee who delivers things<com> e.g. mail
367,carrier,a bearer who bodily conveys something<com> e.g<com> supplies
368,carrier,a vehicle or vessel that transports cargo or passengers
369,carrier,a naval warship bearing aircraft
370,carrier,a device to hold or transport items
371,carrier,a transportation business
372,carrier,an insurance business
373,carrier,a telecommunications business
374,carrier,an organism carrying a masked recessive gene
375,carrier,an organism carrying a pathogen<com> but not showing symptoms
376,carrier,inactive chemical substance acting as a catalyst
377,carrier,a particle holding<com> or capable of holding<com> electric charge
378,carrier,a modulated radio wave that can convey a signal
455,chance,an opportunity
456,chance,events without apparent cause<com> random occurrence<com> luck
457,chance,risk<com> potential bad outcome
458,chance,a measure of the likelihood or probability of an event
241,claim,maintain or affirm that something is true
242,claim,demand<com> ask for<com> or take as one<qu>s due
243,claim,deserve<com> call for<com> or require
244,claim,cause death<com> as if by right
436,come,move<com> travel<com> arrive
437,come,occur<com> happen
438,come,progress to a state
439,come,be available<com> exist in a state
440,come,originate from<com> issue from
441,come,occur in a sequence<com> prioritized
442,come,reach<com> extend to<com> total
443,come,discover or think up
444,come,be revealed
445,come,experience orgasm
446,come,idioms
463,complain,express feelings of pain<com> dissatisfaction<com> or resentment
464,complain,make formal<com> legal accusation or bring charge
109,complete,finish an activity or process<com> either physical or abstract
110,complete,carry out an assigned task or duty
111,complete,make whole<com> add a missing part to a given whole
276,condition,state
277,condition,stipulation
278,condition,consideration
279,condition,not the control
230,defense,an argument that gives grounds or justification for a position
231,defense,action serving a protective function<com> often military
232,defense,a sports team in the role of preventing scoring by the opponent
233,defense,a legal team serving the client against the prosecution
234,defense,a structure to withstand attack
235,defense,organization of defenders<com> as military units
236,defense,business enterprises that build<com> develop military weaponry
237,defense,a federal department responsible for safeguarding national security
143,development,the process
144,development,the end product
