id,word,correct_sense_id,text
26,affect,55,Under guidelines included in an exchange of letters between the Reagan administration and the Senate Intelligence panel last year<com> the U.S. must inform foreign dictators of plans likely to endanger their lives. The existence of the policy became known after Bush disclosed it to seven GOP senators last week<com> citing the plan as an example of congressional requirements the administration contends contribute to the failure of covert actions<com> officials said. Bush conceded that the requirement did n<qu>t **affect** a decision to lend only minor support to this month<qu>s failed effort to oust Panama<qu>s Noriega<com> aides said. The shuttle Atlantis<qu>s crew prepared to return to Earth today several hours earlier than planned to avoid high winds forecast at the landing site at Edwards Air Force Base<com> Calif. The five astronauts<com> who stowed gear and tested the spacecraft<qu>s steering<com> said they were unconcerned about the touchy weather expected in the Mojave Desert.
51,allow,220,Just this week Mobil Corp. disclosed new cutbacks in its domestic exploration and production operations. Out here on the Querecho Plains of New Mexico<com> however<com> the mood is more upbeat; trucks rumble along the dusty roads and burly men in hard hats sweat and swear through the afternoon sun. Santa Fe Energy Co.<com> a unit of Santa Fe Southern Pacific Co.<com> bought from Amoco the rights that **allowed** it to drill the Sharpshooter. A mile and a half away looms the 150-foot-tall rig of the Sniper<com> due to be pumping by December. <qu>Talk is that everybody is going to drill more wells<com><qu> says foreman Tommy Folsom.
54,allow,220,Quickview Systems Inc. said it filed a lawsuit against Apple Computer Inc.<com> claiming patent infringement in an element of Apple<qu>s popular HyperCard software program. The suit<com> filed in Minneapolis federal court<com> claims that Apple violated a Quickview patent that **allows** computer users to display <qu>only portions of multiple fields on a computer screen with the ability to see the entire contents of any given field.<qu> The HyperCard program allows users to design applications for Macintosh computers without having to be hardcore programmers and is distributed with every Macintosh sold. It<qu>s one of the most popular computer programs of all time<com> but analysts said the Quickview suit doesn<qu>t appear to bode major difficulties for Apple.
71,allow,220,John F. Merrill Houston The Federal Housing Administration<com> Veterans Administration and the Department of Housing and Urban Development further aggravate the problem of affordable housing stock by <qu>buying in<qu> to their foreclosed properties (of which there are<com> alas<com> many) at an inflated <qu>balance due<qu> -- say $80<com>000 on a house worth $55<com>000 -- instead of **allowing** a free market to price the house for what it<qu>s really worth. Worse<com> the properties then sit around deteriorating for maybe a year or so<com> but are resold eventually (because of the attractiveness of the low down payment<com> etc.) to a marginal buyer who ca n<qu>t afford both the mortgage and needed repairs; and having little vested interest that buyer will walk away and the vicious cycle repeats itself all over again. Paul Padget
86,allow,220,Terms were n<qu>t disclosed. The maker of animal health and nutrition products said the business<com> Creations Aromatiques of Port Valais<com> Switzerland<com> and Woodside<com> N.Y.<com> is a division of its Mallinckrodt Inc. subsidiary and had sales of about $30 million for its most recent year. International Minerals said the sale will **allow** Mallinckrodt to focus its resources on its core businesses of medical products<com> specialty chemicals and flavors.
89,allow,220,No major player in the SCI TV deal will talk publicly. But it<qu>s understood that Mr. Kravis is disappointed that Mr. Gillett did n<qu>t manage to boost SCI TV<qu>s operating profit after the buy-out. Mr. Kravis apparently thinks SCI TV can survive if lenders extend its debt payments until TV stations rise in value again<com> **allowing** SCI TV to sell assets to pay debt. Mr. Gillett is said to be proud of his operating record; he has lifted some stations<qu> ratings and turned around a Detroit station. As for junk-holders<com> they<qu>re discovering it can be a mistake to take the other side of a trade by KKR.
90,allow,220,And only a handful of small U.S. companies are engaged in high-definition software development. It<qu>s estimated that just about 250 hours of HD programming is currently available for airing. Kodak says its new CCD HDTV converter will help alleviate the problem by **allowing** programmers and broadcasters to convert movies and television programs shot in 35mm motion-picture film into high-definition video. Consumers will be able to switch on their HDTV sets and get all the viewing benefits the high-tech medium offers. Otherwise<com> they<qu>d be watching programs that are no different in quality from what they currently view on color TVs.
115,allow,220,The company said it doesn<qu>t expect the new line<qu>s capacity to adversely affect the company<qu>s existing hot-dipped galvanizing lines. Steelmakers have also been adding capacity of so-called electrogalvanized steel<com> which is another way to make coated corrosion-resistant steel. One of the advantages of the hot-dipped process is that it **allows** the steel to be covered with a thicker coat of zinc more quickly.
147,allow,220,That place is crawling with Bill Doolin and his gang<qu>. Even as he spoke those words Billy Tilghman<qu>s life hung on a thread. Back in the house a hoodlum named Red Buck<com> sore because Billy had been **allowed** to leave unscathed<com> jumped from a bunk and swore he was going after him to kill him right then. <qu>You<qu>ll stay right here<qu><com> commanded Bill Doolin<com> covering Red with his rifle. <qu>Billy Tilghman is too good a man to shoot in the back.
154,announce,211,Poland is the second Communist nation to recognize the Seoul government; South Korea established diplomatic relations with Hungary in February 1989. Venezuela will hold a debt-equity auction Friday<com> with 32 potential bidders participating. Earlier this year<com> Venezuela **announced** it was opening up debt-equity swaps to foreign investors but said the program would be limited to a net disbursement of $600 million a year. Friday<qu>s auction will be limited to $150 million disbursed by the Central Bank to potential investors. The office of foreign investment has authorized some $1.78 billion worth of investment proposals<com> said Edwin Perozo<com> superintendent of foreign investment.
