Word,Sense #1,Sense #2,Sense #3,Sense #4,Sense #5,Sense #6,Sense #7,Sense #8,Sense #9,Sense #10,Sense #11,Sense #12,Sense #13,Sense #14,Sense #15,Total
affect,45,0,0,,,,,,,,,,,,,45
allow,98,10,,,,,,,,,,,,,,108
announce,87,1,0,,,,,,,,,,,,,88
approve,50,3,,,,,,,,,,,,,,53
area,240,76,10,0,0,,,,,,,,,,,326
ask,226,112,4,1,2,3,,,,,,,,,,348
attempt,40,0,,,,,,,,,,,,,,40
authority,39,0,46,1,4,0,,,,,,,,,,90
avoid,55,0,,,,,,,,,,,,,,55
base,23,1,38,0,0,7,23,0,0,0,0,0,,,,92
begin,69,42,1,2,,,,,,,,,,,,114
believe,162,40,,,,,,,,,,,,,,202
bill,0,0,263,37,104,0,0,0,0,,,,,,,404
build,78,6,35,0,,,,,,,,,,,,119
buy,129,1,4,3,0,27,0,,,,,,,,,164
capital,258,18,1,0,1,,,,,,,,,,,278
care,54,8,7,,,,,,,,,,,,,69
carrier,0,2,0,14,0,86,4,3,1,1,0,0,0,,,111
cause,73,,,,,,,,,,,,,,,73
chance,46,2,4,39,,,,,,,,,,,,91
claim,45,8,1,0,,,,,,,,,,,,54
come,55,41,18,3,30,4,4,10,4,0,17,,,,,186
complain,31,1,,,,,,,,,,,,,,32
complete,41,0,1,,,,,,,,,,,,,42
condition,109,23,0,0,,,,,,,,,,,,132
contribute,11,24,,,,,,,,,,,,,,35
defense,15,21,0,23,10,5,35,11,,,,,,,,120
describe,53,1,3,,,,,,,,,,,,,57
development,141,5,34,,,,,,,,,,,,,180
disclose,55,0,,,,,,,,,,,,,,55
do,190,15,1,0,1,0,,,,,,,,,,207
drug,123,82,0,,,,,,,,,,,,,205
effect,146,2,30,0,0,,,,,,,,,,,178
end,85,33,3,14,,,,,,,,,,,,135
enjoy,44,12,,,,,,,,,,,,,,56
estimate,74,,,,,,,,,,,,,,,74
examine,15,10,1,,,,,,,,,,,,,26
exchange,49,3,261,1,49,0,,,,,,,,,,363
exist,50,2,,,,,,,,,,,,,,52
explain,75,10,,,,,,,,,,,,,,85
express,47,0,0,,,,,,,,,,,,,47
feel,285,7,55,,,,,,,,,,,,,347
find,146,2,14,1,11,0,,,,,,,,,,174
fix,3,12,5,9,3,0,,,,,,,,,,32
future,61,0,269,20,,,,,,,,,,,,350
go,96,15,1,26,3,0,52,2,2,9,2,0,3,33,,244
grant,12,7,0,,,,,,,,,,,,,19
hold,3,18,6,14,45,5,0,34,0,4,,,,,,129
hope,103,,,,,,,,,,,,,,,103
hour,158,27,1,1,,,,,,,,,,,,187
improve,31,,,,,,,,,,,,,,,31
job,140,41,7,0,0,0,0,0,0,0,,,,,,188
join,5,41,11,11,,,,,,,,,,,,68
keep,135,15,21,25,13,1,0,50,,,,,,,,260
kill,105,0,2,3,0,0,0,0,1,,,,,,,111
lead,56,36,14,29,26,4,0,,,,,,,,,165
maintain,49,12,0,0,,,,,,,,,,,,61
management,111,173,,,,,,,,,,,,,,284
move,4,249,13,4,,,,,,,,,,,,270
need,132,63,,,,,,,,,,,,,,195
negotiate,25,0,0,,,,,,,,,,,,,25
network,29,73,50,0,,,,,,,,,,,,152
occur,37,10,0,0,,,,,,,,,,,,47
order,46,4,6,2,3,284,1,0,0,,,,,,,346
part,394,74,0,1,12,0,0,,,,,,,,,481
people,687,55,0,5,7,0,,,,,,,,,,754
plant,297,50,0,,,,,,,,,,,,,347
point,5,6,18,31,67,2,3,1,0,0,0,0,0,336,,469
policy,258,73,0,,,,,,,,,,,,,331
position,7,55,57,74,67,7,1,,,,,,,,,268
power,119,12,120,0,,,,,,,,,,,,251
prepare,26,28,,,,,,,,,,,,,,54
president,758,15,106,,,,,,,,,,,,,879
produce,99,16,0,,,,,,,,,,,,,115
promise,44,6,,,,,,,,,,,,,,50
propose,29,5,0,,,,,,,,,,,,,34
prove,24,24,1,0,0,0,,,,,,,,,,49
purchase,35,,,,,,,,,,,,,,,35
raise,46,32,6,19,12,30,2,0,0,,,,,,,147
rate,854,155,,,,,,,,,,,,,,1009
recall,46,2,1,0,,,,,,,,,,,,49
receive,127,9,,,,,,,,,,,,,,136
regard,23,7,10,,,,,,,,,,,,,40
remember,120,1,0,0,0,0,,,,,,,,,,121
remove,47,0,,,,,,,,,,,,,,47
replace,44,2,,,,,,,,,,,,,,46
report,121,4,3,0,,,,,,,,,,,,128
rush,26,2,0,0,,,,,,,,,,,,28
say,2113,4,5,37,2,,,,,,,,,,,2161
see,33,39,71,9,2,4,0,0,0,0,,,,,,158
set,35,2,38,51,8,34,3,2,1,0,0,0,,,,174
share,57,2479,0,,,,,,,,,,,,,2536
source,4,39,56,15,0,38,,,,,,,,,,152
space,30,32,0,1,2,2,0,0,,,,,,,,67
start,27,143,21,3,19,0,1,,,,,,,,,214
state,80,513,24,0,,,,,,,,,,,,617
system,130,250,2,66,2,0,0,,,,,,,,,450
turn,179,45,13,18,18,32,3,1,0,0,8,1,3,1,18,340
value,24,299,12,0,0,,,,,,,,,,,335
work,149,49,3,4,2,0,0,14,9,,,,,,,230
TOTAL,12095,5947,1808,617,525,575,132,128,18,14,27,1,6,370,18,22281
Percentage,54.28%,26.69%,8.11%,2.77%,2.36%,2.58%,0.59%,0.57%,0.08%,0.06%,0.12%,0.00%,0.03%,1.66%,0.08%,100.00%
